tweet,label
"b""Silencing #BLM : Priti Patel\xe2\x80\x99s anti-protest law - @IanDunt on how a Government keen to 'tackle cancel culture' when\xe2\x80\xa6 https://t.co/O7TvlOBkro""",BLM
"b'@Trillian42_ @Johnbok5 @NadiaWhittomeMP ""\'Silly little woke lefty\'. Mostly Harmless. Rebel Scum. Gamer. Intersectio\xe2\x80\xa6 https://t.co/jdhjYk75bM'",BLM
"b'RT @ErrolWebber: Tell me, would this be considered ""Racist?\xe2\x80\x9d\n\nDo people who support #BLM think this is OK? https://t.co/DuwAbLJghP'",BLM
"b""@APPLE won't let Parler have an App but still keeps @TWitter Who allows all manner of provoking violence with vario\xe2\x80\xa6 https://t.co/zFNX8KLFhF""",BLM
b'@malika_andrews @wojespn Can we get #JLM trending. Maybe the NBA can put that on the b-ball court and have ALL jers\xe2\x80\xa6 https://t.co/OE2PQk42FQ',BLM
"b'@alexberesfordTV You weren\xe2\x80\x99t out of order, please don\xe2\x80\x99t silence your voice for these hateful bigots. Where is the o\xe2\x80\xa6 https://t.co/gdsJTT3Av7'",BLM
"b'Mom, I have a problem You can help me. Mam. #bbc #bbcslut #nude #sext #cum #cumshot #creampie #blm #horny #gangbang\xe2\x80\xa6 https://t.co/x1OYKUInxk'",BLM
b'RT @TSP_Youtube: An amazing chat with Cincinnati health report Anne Saker @spsaker \n\n#AnneSaker #Chat #covid #vaccine #amidtheflowers #repo\xe2\x80\xa6',BLM
b'@chrisshipitv Recollection?? The headlines were CLEARLY RACIST. The racist citizens were VOCAL AND GIVEN A VOICE. T\xe2\x80\xa6 https://t.co/rJjXb2EAkw',BLM
b'@nagivatorjan @widehope @Nick_Pye ... until #BLM entered UK - biggest racists going',BLM
b'RT @joedaddyhala: Thank you Rep.(D) Stacey Plaskett for standing up for #BLM .  The \xe2\x80\x9cGQP\xe2\x80\x9d will never understand or care to learn about Blac\xe2\x80\xa6',BLM
b'tiny pandemic poems:\n2021 #90\n\nhow have you reacted \nto bumping into yourself \neverywhere you turn\nduring this time\xe2\x80\xa6 https://t.co/rT6JpExuJn',BLM
b'RT @PTNewsnetwork: The third day of the George Floyd murder trial started off with several motions before they began questioning potential\xe2\x80\xa6',BLM
b'RT @NicolaADeMarco: @Islablonde The false report of massacre #Axum #Tigray #Ethiopia is attack on sovereignty of both #Ethiopia and #Eritre\xe2\x80\xa6',BLM
b'White feminists. This is your time to use your white privilege &amp; call out violence against women &amp; institutional po\xe2\x80\xa6 https://t.co/QtXwpkeu7f',BLM
"b'@theorphanmoon68 @Katie23626427 Well said, Andrew!\n\nAny charity that gives 100s of 1000s of \xc2\xa3\xc2\xa3\xc2\xa3s to #BLM, a known c\xe2\x80\xa6 https://t.co/reF94UGw8b'",BLM
"b'\xe2\x80\x9cBlack Lives Matter doesn\xe2\x80\x99t like the old fashioned family.\xe2\x80\x9d\n\n\xf0\x9f\x98\x86 \n\nI shouldn\xe2\x80\x99t ask considering, but how on earth did\xe2\x80\xa6 https://t.co/qlJC8PBg6B'",BLM
b'#BLM is racist https://t.co/L5mMjquyI7',BLM
b'i\xe2\x80\x99m starting to #BLM a little more\xf0\x9f\x98\xbb https://t.co/on07XuS5EI',BLM
"b""RT @NicolaADeMarco: @NoRoom4FakeNews Such a beautiful and inspiring thing to see!!! Stay positive! Don't be discouraged!! Even when the med\xe2\x80\xa6""",BLM
b'@inzyrashid @SkyNews AND They ARE NOT Anti-racist. There in lies the crux. #BLM #HarryandMeghan #SpeakUp #MentalHealthMatters  #Colonialism',BLM
"b""RT @netpol: The Government are so angry about the toppling of the #Colston Statue by #BLM protesters that they've upped the penalty for dam\xe2\x80\xa6""",BLM
"b""Ye don't have to tweet about it lads, but ye do need to think about the things you do or say. \n\nYour intent when yo\xe2\x80\xa6 https://t.co/uzTqC39QBz""",BLM
"b'RT @MKUltraLegend: Black binbags are a #RACIST symbol of #WHITENORMATIVITY, #WHITESUPREMACY &amp; #WHITEPRIVILEGE.\n\nWhy? The structures of soci\xe2\x80\xa6'",BLM
b'RT @BethOrgan: To those who are rightly condemning the #NotAllMen hashtag but who had no issue with #AllLivesMatter last summer: I ask you\xe2\x80\xa6',BLM
b'@wolflov18427553 @SuperboyIsILL @DarlingDarla @iamcormega @charleshamilton @BAPEOFFICIAL @Lilpeep @BrotherMob\xe2\x80\xa6 https://t.co/OLBCaSemUZ',BLM
"b'RT @Coolhand6661: ""It\'s The IMPLICATION!"" LMFAO!\n2020 has shown quite clearly 90% of Racism in UK is Anti-White Racism. Largely encouraged\xe2\x80\xa6'",BLM
